t,block_id,price_da_eur_mwh,q_ch_mw,q_dis_mw,soc_mwh,g_imp_mw,g_exp_mw,p_da_net_mw,p_afrr_up_mw,p_afrr_down_mw,price_act_up_eur_mwh,price_act_down_eur_mwh,price_cap_up_eur_mw_h,price_cap_down_eur_mw_h,solver_status,solve_time_s,objective_value
1,1,0.1,0.0,0.0,55.329175,0.0,0.0,0.0,0.0,30.0,73.4875,-46.72,44.64,66.4,Optimal,3691.2810210000002,10129255.915036496
2,1,0.01,0.0,0.0,55.329175,0.0,0.0,0.0,0.0,30.0,78.6275,-17.57,44.64,66.4,Optimal,3691.2810210000002,10129255.915036496
3,1,0.0,0.0,0.0,55.329175,0.0,0.0,0.0,0.0,30.0,85.08666666666666,-19.472500000000004,44.64,66.4,Optimal,3691.2810210000002,10129255.915036496
4,1,-0.01,0.0,0.0,55.329175,0.0,0.0,0.0,0.0,30.0,31.04,-31.564999999999998,44.64,66.4,Optimal,3691.2810210000002,10129255.915036496
5,2,-0.03,0.0,0.0,55.329175,0.0,0.0,0.0,0.0,30.0,87.53666666666666,-18.386666666666667,44.64,66.4,Optimal,3691.2810210000002,10129255.915036496
6,2,-0.02,0.0,0.0,55.329175,0.0,0.0,0.0,0.0,30.0,0.0,-23.7125,44.64,66.4,Optimal,3691.2810210000002,10129255.915036496
7,2,-0.05,0.0,0.0,55.329175,0.0,0.0,0.0,0.0,30.0,73.69333333333333,-73.38,44.64,66.4,Optimal,3691.2810210000002,10129255.915036496
8,2,-0.02,0.0,0.0,55.329175,0.0,0.0,0.0,0.0,30.0,71.14666666666666,-53.934999999999995,44.64,66.4,Optimal,3691.2810210000002,10129255.915036496
9,3,0.0,0.0,0.0,55.329175,0.0,0.0,0.0,0.0,30.0,64.91,-91.5475,44.64,66.4,Optimal,3691.2810210000002,10129255.915036496
10,3,0.04,0.0,0.0,55.329175,0.0,0.0,0.0,0.0,30.0,0.0,-23.080000000000002,44.64,66.4,Optimal,3691.2810210000002,10129255.915036496
11,3,0.06,0.0,0.0,55.329175,0.0,0.0,0.0,0.0,30.0,0.0,-13.0,44.64,66.4,Optimal,3691.2810210000002,10129255.915036496
12,3,0.54,0.0,0.0,55.329175,0.0,0.0,0.0,0.0,30.0,0.0,-13.8875,44.64,66.4,Optimal,3691.2810210000002,10129255.915036496
13,4,2.24,0.0,0.0,55.329175,0.0,0.0,0.0,0.0,30.0,0.0,-8.81,44.64,66.4,Optimal,3691.2810210000002,10129255.915036496
14,4,1.97,0.0,0.0,55.329175,0.0,0.0,0.0,0.0,30.0,68.31,-20.78,44.64,66.4,Optimal,3691.2810210000002,10129255.915036496
15,4,1.13,0.0,0.0,55.329175,0.0,0.0,0.0,0.0,30.0,0.0,0.0,44.64,66.4,Optimal,3691.2810210000002,10129255.915036496
