scenario,year,rev_da_eur,rev_afrr_cap_up_eur,rev_afrr_cap_down_eur,rev_afrr_act_up_eur,rev_afrr_act_down_eur,rev_total_eur,throughput_mwh,fixed_om_eur,var_om_eur,degradation_cost_eur,grid_fee_eur,total_opex_eur,net_operating_cashflow_eur,discount_factor,discounted_cashflow_eur,cum_discounted_cf_after_capex_eur
base_2023,1,2625355.739710694,4156267.538492511,2250943.3360850173,301315.3013187391,44983.9817675965,9378865.89737456,25903.61095773,276000.0,51807.22191546,77710.83287319,261000.0,666518.05478865,8712347.84258591,1.07,8142381.161295243,-5657618.838704757
base_2023,2,2704369.4537313525,4306327.14674356,2145537.077904374,309174.4630352042,35134.919146008346,9500543.060560498,27280.36794711,276000.0,54560.73589422,81841.10384133,261000.0,673401.83973555,8827141.220824948,1.1449,7709967.002205387,2052348.1635006294
base_2023,3,2552778.864836823,4320036.70991808,2163125.908736415,308684.81779873976,38688.783422537344,9383315.084712597,25588.42099235,276000.0,51176.8419847,76765.26297704999,261000.0,664942.10496175,8718372.979750847,1.225043,7116789.353313187,9169137.516813817
base_2023,4,2166887.218791059,4347549.308771143,2394572.2342032315,310110.21730113274,48443.25860039254,9267562.23766696,19395.585827475,276000.0,38791.17165495,58186.757482425,261000.0,633977.929137375,8633584.308529586,1.3107960100000002,6586520.131785863,15755657.64859968
base_2023,5,2110918.910027591,4395875.257953139,2389058.6388356416,312637.28167109337,48953.74040550816,9257443.828892974,18828.4104362,276000.0,37656.8208724,56485.2313086,261000.0,631142.052181,8626301.776711974,1.4025517307000004,6150433.94685105,21906091.59545073
base_2023,6,2130088.227587361,4396306.743896399,2234847.537055994,309401.38584364153,49341.32454572189,9119985.218929118,20310.789554950003,276000.0,40621.579109900005,60932.36866485001,261000.0,638553.94777475,8481431.271154368,1.5007303518490005,5651535.774367911,27557627.36981864
base_2023,7,2374328.531776894,4494001.40844092,2155963.6960764965,322546.5113799879,31276.009343126265,9378116.157017425,23584.458041695,276000.0,47168.91608339,70753.374125085,261000.0,654922.290208475,8723193.866808949,1.6057814764784306,5432366.72896452,32989994.098783158
base_2023,8,2329771.9162317677,4507429.328235049,2162563.4223848376,324174.9082804944,31793.19414692709,9355732.769279076,23239.88473854,276000.0,46479.76947708,69719.65421562,261000.0,653199.4236927,8702533.345586376,1.718186179831921,5064953.639912113,38054947.73869527
base_2023,9,2271730.436243561,4525524.467572216,2174626.563124958,327114.0775342824,31328.07049892955,9330323.614973947,22679.3428327,276000.0,45358.6856654,68038.0284981,261000.0,650396.7141635,8679926.900810447,1.8384592124201555,4721305.12451465,42776252.86320992
base_2023,10,2205550.929371559,4573661.124129375,2175643.1992892604,329987.884875148,32065.43889027786,9316908.57655562,21959.28974795,276000.0,43918.5794959,65877.86924385,261000.0,646796.4487397501,8670112.12781587,1.9671513572895665,4407445.362903828,47183698.226113744
base_2023,11,2146021.5451763663,4597635.947994844,2179922.6726241456,331350.94951386855,33514.69945261724,9288445.814761844,21156.4592025,276000.0,42312.918405,63469.37760749999,261000.0,642782.2960125001,8645663.518749343,2.1048519522998363,4107492.457748766,51291190.68386251
base_2023,12,2025763.356390178,4641034.375054052,2161584.138740599,328887.7731107254,39402.37445597819,9196672.017751534,19715.39238622,276000.0,39430.78477244,59146.17715865999,261000.0,635576.9619311,8561095.055820433,2.252191588960825,3801228.5889810002,55092419.27284351
base_2023,13,2043612.116129628,4731671.913014301,2138406.898060314,335251.4936599008,35434.139234490736,9284376.560098637,20115.16565255,276000.0,40230.3313051,60345.49695765,261000.0,637575.8282627501,8646800.731835887,2.4098450001880827,3588114.8916884796,58680534.16453199
base_2023,14,2000223.089181788,4750399.585748778,2141371.024659389,334466.6362101672,37329.32041968338,9263789.656219808,19563.13257665,276000.0,39126.2651533,58689.397729950004,261000.0,634815.66288325,8628973.993336558,2.5785341502012487,3346464.88690603,62026999.05143802
base_2023,15,1941960.4204738224,4758047.72804965,2163040.741272119,336574.3531932075,37626.817732307005,9237250.060721103,18961.12076124,276000.0,37922.24152248,56883.362283719995,261000.0,631805.6038062,8605444.456914904,2.7590315407153363,3119009.090662212,65146008.14210023
