scenario,year,rev_da_eur,rev_afrr_cap_up_eur,rev_afrr_cap_down_eur,rev_afrr_act_up_eur,rev_afrr_act_down_eur,rev_total_eur,throughput_mwh,fixed_om_eur,var_om_eur,degradation_cost_eur,grid_fee_eur,total_opex_eur,net_operating_cashflow_eur,discount_factor,discounted_cashflow_eur,cum_discounted_cf_after_capex_eur
base_2023_da_only,1,4704142.200892992,0.0,0.0,0.0,0.0,4704142.200892992,92642.49175803,276000.0,185284.98351606,277927.47527408996,261000.0,1000212.45879015,3703929.7421028423,1.07,3461616.5814045253,-10338383.418595474
base_2023_da_only,2,4582788.125758082,0.0,0.0,0.0,0.0,4582788.125758082,91235.4980583,276000.0,182470.9961166,273706.4941749,261000.0,993177.4902915,3589610.6354665817,1.1449,3135304.948437926,-7203078.470157549
base_2023_da_only,3,4482723.555780665,0.0,0.0,0.0,0.0,4482723.555780665,90133.59377785,276000.0,180267.1875557,270400.78133355,261000.0,987667.96888925,3495055.586891415,1.225043,2853006.4551949725,-4350072.014962576
base_2023_da_only,4,4388757.361591742,0.0,0.0,0.0,0.0,4388757.361591742,88861.08747405,276000.0,177722.1749481,266583.26242215,261000.0,981305.43737025,3407451.9242214924,1.3107960100000002,2599528.758270703,-1750543.2566918735
base_2023_da_only,5,4302934.397329139,0.0,0.0,0.0,0.0,4302934.397329139,88022.73459168001,276000.0,176045.46918336002,264068.20377504005,261000.0,977113.6729584001,3325820.7243707385,1.4025517307000004,2371264.211916699,620720.9552248255
base_2023_da_only,6,4208468.281394722,0.0,0.0,0.0,0.0,4208468.281394722,86590.14181369,276000.0,173180.28362738,259770.42544107,261000.0,969950.70906845,3238517.572326272,1.5007303518490005,2157961.0010127407,2778681.956237566
base_2023_da_only,7,4118893.416161373,0.0,0.0,0.0,0.0,4118893.416161373,85311.23586925,276000.0,170622.4717385,255933.70760775,261000.0,963556.17934625,3155337.236815123,1.6057814764784306,1964985.449785456,4743667.406023022
base_2023_da_only,8,4038561.867483034,0.0,0.0,0.0,0.0,4038561.867483034,84554.7916907,276000.0,169109.5833814,253664.37507210003,261000.0,959773.9584535,3078787.909029534,1.718186179831921,1791882.5940799455,6535550.000102967
base_2023_da_only,9,3959435.593276164,0.0,0.0,0.0,0.0,3959435.593276164,83568.48039095,276000.0,167136.9607819,250705.44117285003,261000.0,954842.4019547501,3004593.191321414,1.8384592124201555,1634299.6194983053,8169849.619601272
base_2023_da_only,10,3884066.259736308,0.0,0.0,0.0,0.0,3884066.259736308,82759.4620113,276000.0,165518.9240226,248278.3860339,261000.0,950797.3100565,2933268.9496798078,1.9671513572895665,1491125.1942104767,9660974.81381175
base_2023_da_only,11,3809503.0462113554,0.0,0.0,0.0,0.0,3809503.0462113554,81684.15327335,276000.0,163368.3065467,245052.45982005002,261000.0,945420.76636675,2864082.2798446054,2.1048519522998363,1360704.8594155074,11021679.673227256
base_2023_da_only,12,3742376.155344124,0.0,0.0,0.0,0.0,3742376.155344124,81288.89079716,276000.0,162577.78159432,243866.67239148,261000.0,943444.4539858,2798931.701358324,2.252191588960825,1242759.1485011133,12264438.82172837
base_2023_da_only,13,3675139.1387730646,0.0,0.0,0.0,0.0,3675139.1387730646,80897.87197464998,276000.0,161795.74394929997,242693.61592394995,261000.0,941489.3598732499,2733649.778899815,2.4098450001880827,1134367.471221784,13398806.292950153
base_2023_da_only,14,3610935.94833433,0.0,0.0,0.0,0.0,3610935.94833433,80307.311493875,276000.0,160614.62298775,240921.93448162498,261000.0,938536.557469375,2672399.3908649553,2.5785341502012487,1036402.5586616258,14435208.85161178
base_2023_da_only,15,3547706.22068464,0.0,0.0,0.0,0.0,3547706.22068464,79763.83688343602,276000.0,159527.67376687203,239291.51065030805,261000.0,935819.18441718,2611887.0362674603,2.7590315407153363,946668.0600506199,15381876.9116624
