rev_da_eur,rev_afrr_cap_up_eur,rev_afrr_cap_down_eur,rev_afrr_act_up_eur,rev_afrr_act_down_eur,rev_total_eur,throughput_mwh,year,soh_frac,objective_value,solver_status
4704142.200892992,0.0,0.0,0.0,0.0,4704142.200892992,92642.49175803001,1,0.9221529240000002,4704142.2008930035,Optimal
4582788.125758082,0.0,0.0,0.0,0.0,4582788.125758082,91235.4980583,2,0.882232884,4582788.125758098,Optimal
4482723.555780665,0.0,0.0,0.0,0.0,4482723.555780665,90133.59377785,3,0.8497978515000001,4482723.555780681,Optimal
4388757.361591742,0.0,0.0,0.0,0.0,4388757.361591742,88861.08747405,4,0.8212550229,4388757.361591754,Optimal
4302934.397329139,0.0,0.0,0.0,0.0,4302934.397329139,88022.73459168001,5,0.7955065970999999,4302934.397329146,Optimal
4208468.281394722,0.0,0.0,0.0,0.0,4208468.281394722,86590.14181369,6,0.7716543732,4208468.281394732,Optimal
4118893.4161613733,0.0,0.0,0.0,0.0,4118893.4161613733,85311.23586925,7,0.7492991508,4118893.4161613863,Optimal
4038561.867483034,0.0,0.0,0.0,0.0,4038561.867483034,84554.7916907,8,0.7282413296999999,4038561.8674830473,Optimal
3959435.5932761636,0.0,0.0,0.0,0.0,3959435.5932761636,83568.48039095,9,0.7080817095,3959435.5932761817,Optimal
3884066.259736308,0.0,0.0,0.0,0.0,3884066.259736308,82759.4620113,10,0.6888202902,3884066.259736325,Optimal
3809503.0462113554,0.0,0.0,0.0,0.0,3809503.0462113554,81684.15327335,11,0.6702574715999999,3809503.046211372,Optimal
3742376.155344124,0.0,0.0,0.0,0.0,3742376.155344124,81288.89079716,12,0.6523932537,3742376.15534414,Optimal
3675139.1387730646,0.0,0.0,0.0,0.0,3675139.1387730646,80897.87197464998,13,0.6351278364,3675139.138773072,Optimal
3610935.9483343307,0.0,0.0,0.0,0.0,3610935.9483343307,80307.311493875,14,0.6183614196,3610935.948334348,Optimal
3547706.22068464,0.0,0.0,0.0,0.0,3547706.22068464,79763.83688343602,15,0.6019942032,3547706.2206846536,Optimal
