year,status,pulp_status_code,result_status,solve_time_s,objective_value,time_limit_s
1,Optimal,1,1,1679.0412171999997,4704142.2008930035,3600.0
2,Optimal,1,1,1699.1862825999997,4582788.125758098,3600.0
3,Optimal,1,1,2009.4838238000011,4482723.555780681,3600.0
4,Optimal,1,1,2138.201622000008,4388757.361591754,3600.0
5,Optimal,1,1,1385.92475630001,4302934.397329146,3600.0
6,Optimal,1,1,1322.199591800003,4208468.281394732,3600.0
7,Optimal,1,1,1093.650235699999,4118893.4161613863,3600.0
8,Optimal,1,1,2442.440720300001,4038561.8674830473,3600.0
9,Optimal,1,1,2009.2444759000064,3959435.5932761817,3600.0
10,Optimal,1,1,2182.104323899999,3884066.259736325,3600.0
11,Optimal,1,1,1753.986404700001,3809503.046211372,3600.0
12,Optimal,1,1,3567.354144099998,3742376.15534414,3600.0
13,Optimal,1,1,2334.118619899993,3675139.138773072,3600.0
14,Optimal,1,1,2746.891438999999,3610935.948334348,3600.0
15,Optimal,1,1,2111.0672436000023,3547706.2206846536,3600.0
