year,soh_frac,rev_da_eur,rev_afrr_cap_up_eur,rev_afrr_cap_down_eur,rev_afrr_act_up_eur,rev_afrr_act_down_eur,rev_total_eur,throughput_mwh
1,0.9221529240000002,4704142.200892992,0.0,0.0,0.0,0.0,4704142.200892992,92642.49175803
2,0.882232884,4582788.125758082,0.0,0.0,0.0,0.0,4582788.125758082,91235.4980583
3,0.8497978515000001,4482723.555780665,0.0,0.0,0.0,0.0,4482723.555780665,90133.59377785
4,0.8212550229,4388757.361591742,0.0,0.0,0.0,0.0,4388757.361591742,88861.08747405
5,0.7955065970999999,4302934.397329139,0.0,0.0,0.0,0.0,4302934.397329139,88022.73459168001
6,0.7716543732,4208468.281394722,0.0,0.0,0.0,0.0,4208468.281394722,86590.14181369
7,0.7492991508,4118893.416161373,0.0,0.0,0.0,0.0,4118893.416161373,85311.23586925
8,0.7282413296999999,4038561.867483034,0.0,0.0,0.0,0.0,4038561.867483034,84554.7916907
9,0.7080817095,3959435.593276164,0.0,0.0,0.0,0.0,3959435.593276164,83568.48039095
10,0.6888202902,3884066.259736308,0.0,0.0,0.0,0.0,3884066.259736308,82759.4620113
11,0.6702574715999999,3809503.0462113554,0.0,0.0,0.0,0.0,3809503.0462113554,81684.15327335
12,0.6523932537,3742376.155344124,0.0,0.0,0.0,0.0,3742376.155344124,81288.89079716
13,0.6351278364,3675139.1387730646,0.0,0.0,0.0,0.0,3675139.1387730646,80897.87197464998
14,0.6183614196,3610935.94833433,0.0,0.0,0.0,0.0,3610935.94833433,80307.311493875
15,0.6019942032,3547706.22068464,0.0,0.0,0.0,0.0,3547706.22068464,79763.83688343602
