year,status,pulp_status_code,result_status,solve_time_s,objective_value,time_limit_s
1,Optimal,1,1,3624.657127300001,10153018.605940323,3600.0
2,Optimal,1,1,3625.441021699997,10255673.46130702,3600.0
3,Optimal,1,1,3626.91242149999,10142263.553587671,3600.0
4,Optimal,1,1,3627.4693223000068,10056818.989481706,3600.0
5,Optimal,1,1,3624.3047103000135,10051502.153211346,3600.0
6,Optimal,1,1,3623.181278200005,9896640.440189296,3600.0
7,Optimal,1,1,3623.9072422000027,10160688.39322125,3600.0
8,Optimal,1,1,3624.209457600009,10135341.115868865,3600.0
9,Optimal,1,1,3636.6680329000083,10114611.745943971,3600.0
10,Optimal,1,1,3626.007832000003,10107059.426242717,3600.0
11,Optimal,1,1,3922.4760150000075,10082048.511382442,3600.0
12,Optimal,1,1,3632.3573834999843,9993439.646791676,3600.0
13,Optimal,1,1,3638.0054826000123,10088905.942761853,3600.0
14,Optimal,1,1,3635.3008322999813,10070852.608112901,3600.0
15,Optimal,1,1,3623.129885800008,10047837.79852635,3600.0
