rev_da_eur,rev_afrr_cap_up_eur,rev_afrr_cap_down_eur,rev_afrr_act_up_eur,rev_afrr_act_down_eur,rev_total_eur,throughput_mwh,objective_value,year,soh_frac
3586703.950765028,4030694.5281084287,2302886.8637937927,291666.3450608647,24941.556509919203,10236893.244238034,128691.7290959535,10975803.167391516,1,0.9221529240000002
3506215.3372328514,4141834.048506924,2254063.579183965,299183.6812071509,25262.141338842743,10226558.787469732,128606.08482825701,10973263.616879739,2,0.882232884
3429302.8213275857,4240388.763711411,2221938.136273955,303128.4085085301,23415.05276998774,10218173.182591468,128548.90992025001,10972492.11254822,3,0.8497978515000001
3367473.7453321945,4270063.059939362,2233061.1316640605,304540.7663790275,21543.8555495696,10196682.558864214,128523.75569763,10955483.539433237,4,0.8212550229
2772217.990985367,5778700.220835045,1562662.078960479,392468.69576879404,13631.836126269322,10519680.822675955,129558.673427,11380510.027967647,5,0.7955065970999999
3252667.3556668456,4317818.920831434,2249363.523653553,308275.57244224206,20699.6939679278,10148825.066562003,128575.04098580501,10915064.81381155,6,0.7716543732
3187429.3031306807,4378723.1062774705,2231936.050505891,311567.54353927483,23895.509295533244,10133551.512748849,128556.49859199,10905342.870729921,7,0.7492991508
3132344.7474714317,4436962.605733335,2216613.919557617,318145.43495442154,21441.3539227219,10125508.061639527,128539.03253982999,10902526.209087139,8,0.7282413296999999
3067261.7516062944,4479537.735349003,2225259.0074993586,320549.5549906277,23068.013866814752,10115676.063312097,128522.31124222999,10898833.209794683,9,0.7080817095
2562321.074005544,5904683.158573196,1562488.4338156732,398695.3011568144,11115.46913092171,10439303.43668215,129459.95903696999,11314523.702093763,10,0.6888202902
2527047.619441939,5897436.91521275,1586552.015847519,399252.52402163576,13243.597892857702,10423532.672416702,129557.24546667,11300919.9025131,11,0.6702574715999999
2491882.881494576,5928832.503167916,1576155.4431776702,400752.3778468544,11204.52696888678,10408827.732655903,129392.80884900001,11288488.27285823,12,0.6523932537
2457981.6710139723,5959155.083062171,1566887.2665056868,403529.0110192385,10404.019566758247,10397957.051167827,129349.86152662695,11280176.539859796,13,0.6351278364
2429155.081379155,5967208.972840122,1561099.7859884119,402296.0076337126,12683.211605863376,10372443.059447264,129365.03795359,11255030.614182534,14,0.6183614196
2742645.9005887993,4815569.922362784,2153824.3532141033,336209.45154640544,32924.489264425225,10081174.116976518,128330.89429219501,10896566.142519327,15,0.6019942032
