rev_da_eur,rev_afrr_cap_up_eur,rev_afrr_cap_down_eur,rev_afrr_act_up_eur,rev_afrr_act_down_eur,rev_total_eur,throughput_mwh,objective_value,year,soh_frac
2935163.5071603125,5711505.394874544,1560819.233351878,386403.2891008776,13585.458919001025,10607476.883406615,129537.65933635419,11459956.1495042,1,0.9221529240000002
2876446.393756537,5726535.067602811,1570305.5865606111,386716.1300033226,13126.549496360105,10573129.72741964,129523.47497988,11428316.766008712,2,0.882232884
2833517.002749116,5764217.3350699255,1544286.1485493588,391170.565286465,13505.583317632369,10546696.634972498,129571.9501856,11403716.596579986,3,0.8497978515000001
3331111.50366503,4282773.270531321,2239947.8627423667,305392.00535094325,21408.54492966474,10180633.187219325,128601.990500202,10941691.153293766,4,0.8212550229
3275238.6563411104,4300032.120000457,2249092.5695818416,307138.95832168916,20761.446965198138,10152263.751210297,128581.078587714,10916377.652513279,5,0.7955065970999999
3205680.933224229,4370499.38180072,2228416.3982558437,311270.9960855696,23685.035149308263,10139552.74451567,128561.706757695,10909982.947847877,6,0.7716543732
2652505.4316315996,5854795.739629509,1558599.4753554242,396730.214950811,10210.240511930344,10472841.102079274,129476.240879925,11341767.290234813,7,0.7492991508
3078852.8929089885,4478338.150090592,2222203.792095859,320479.5059728963,22974.96298156057,10122849.304049896,128526.44853045,10905515.573349549,8,0.7282413296999999
3023688.6365159154,4505522.451258283,2227749.7303281627,322632.0122844955,24562.79656975165,10104155.626956608,128510.07564534999,10890874.182293074,9,0.7080817095
2542959.1526655857,5884031.693921788,1584490.3833980737,398394.181170997,9706.216872255647,10419581.628028698,129447.72363399001,11294761.904646596,10,0.6888202902
2507057.197451699,5895383.569351414,1590497.6881359166,400588.1030990918,10600.091766076492,10404126.649804197,129402.51113852,11281578.812783241,11,0.6702574715999999
2832148.040238357,4705113.763996629,2200301.0016480405,330047.5176909359,31678.386410780928,10099288.709984744,128382.03965495,10906748.786364159,12,0.6523932537
2791081.8297476517,4733781.580529137,2198308.2669680985,331802.9290215139,32392.874629322185,10087367.480895722,128387.62146839002,10898065.888149394,13,0.6351278364
2405187.369193846,5972661.831681306,1575877.0612310332,404731.7227723439,11761.456628768869,10370219.441507298,129259.30786975002,11255223.006486373,14,0.6183614196
2377567.214512236,5975898.345431757,1585585.225462678,404578.16926541086,11941.46102755385,10355570.415699637,129202.41866475,11242015.21738001,15,0.6019942032
