t,block_id,price_da_eur_mwh,q_ch_mw,q_dis_mw,soc_mwh,g_imp_mw,g_exp_mw,p_da_net_mw,p_afrr_up_mw,p_afrr_down_mw,price_act_up_eur_mwh,price_act_down_eur_mwh,price_cap_up_eur_mw_h,price_cap_down_eur_mw_h
1,1,0.1,0.0,0.0,49.275301,0.0,0.0,0.0,0.0,30.0,73.4875,-46.72,44.64,66.4
2,1,0.01,15.0,15.0,48.350301,30.0,30.0,0.0,0.0,30.0,78.6275,-17.57,44.64,66.4
3,1,0.0,15.0,15.0,47.425301,0.0,0.0,0.0,0.0,30.0,85.08666666666666,-19.472500000000004,44.64,66.4
4,1,-0.01,15.0,15.0,46.500301,30.0,30.0,0.0,0.0,30.0,31.04,-31.564999999999998,44.64,66.4
5,2,-0.03,15.0,15.0,45.575301,30.0,30.0,0.0,0.0,30.0,87.53666666666666,-18.386666666666667,44.64,66.4
6,2,-0.02,15.0,15.0,44.650301,30.0,30.0,0.0,0.0,30.0,0.0,-23.7125,44.64,66.4
7,2,-0.05,15.0,15.0,43.725301,30.0,30.0,0.0,0.0,30.0,73.69333333333333,-73.38,44.64,66.4
8,2,-0.02,15.0,15.0,42.800301,30.0,30.0,0.0,0.0,30.0,71.14666666666666,-53.934999999999995,44.64,66.4
9,3,0.0,13.519443,16.480557,38.882109,2.9611141,0.0,-2.9611141,27.038886,0.0,64.91,-91.5475,44.64,66.4
10,3,0.04,13.519443,16.480557,34.963916,30.0,27.038886,-2.9611139999999985,27.038886,0.0,0.0,-23.080000000000002,44.64,66.4
11,3,0.06,13.519443,16.480557,31.045723,30.0,27.038886,-2.9611139999999985,27.038886,0.0,0.0,-13.0,44.64,66.4
12,3,0.54,13.519443,16.480557,27.12753,30.0,27.038886,-2.9611139999999985,27.038886,0.0,0.0,-13.8875,44.64,66.4
13,4,2.24,15.0,15.0,26.20253,0.0,0.0,0.0,30.0,0.0,0.0,-8.81,44.64,66.4
14,4,1.97,15.0,15.0,25.27753,30.0,30.0,0.0,30.0,0.0,68.31,-20.78,44.64,66.4
15,4,1.13,15.0,15.0,24.35253,30.0,30.0,0.0,30.0,0.0,0.0,0.0,44.64,66.4
16,4,3.19,15.0,15.0,23.42753,30.0,30.0,0.0,30.0,0.0,104.26,0.0,44.64,66.4
17,5,40.0,15.0,15.0,22.50253,0.0,0.0,0.0,0.0,30.0,84.24,-31.465,44.64,66.4
18,5,84.46,15.0,15.0,21.57753,30.0,30.0,0.0,0.0,30.0,210.225,-79.57,44.64,66.4
19,5,61.74,15.0,15.0,20.65253,30.0,30.0,0.0,0.0,30.0,92.955,-88.725,44.64,66.4
20,5,61.27,15.0,15.0,19.72753,0.0,0.0,0.0,0.0,30.0,83.63,-126.57499999999999,44.64,66.4
21,6,59.97,15.0,15.0,18.80253,0.0,0.0,0.0,0.0,30.0,142.92666666666668,-19.94,46.34,64.17
22,6,54.92,15.0,15.0,17.87753,0.0,0.0,0.0,0.0,30.0,75.095,-140.565,46.34,64.17
23,6,47.65,15.0,15.0,16.95253,0.0,0.0,0.0,0.0,30.0,0.0,-83.9075,46.34,64.17
24,6,35.55,15.0,15.0,16.02753,0.0,0.0,0.0,0.0,30.0,0.0,-75.865,46.34,64.17
25,7,29.39,15.0,15.0,15.10253,30.0,30.0,0.0,30.0,0.0,0.0,-272.4975,51.44,57.48
26,7,19.6,15.0,15.0,14.17753,0.0,0.0,0.0,30.0,0.0,0.0,-281.2425,51.44,57.48
