rev_da_eur,rev_afrr_cap_up_eur,rev_afrr_cap_down_eur,rev_afrr_act_up_eur,rev_afrr_act_down_eur,rev_total_eur,throughput_mwh,objective_value,year,soh_frac,solver_status
2625355.7397106946,4156267.538492511,2250943.3360850173,301315.3013187391,44983.9817675965,9378865.89737456,25903.610957729998,10129255.915036496,1,0.9221529240000002,Optimal
2686078.5817005476,4314052.016875125,2147821.632068961,309933.70866025786,36192.632957180074,9494078.572262071,26848.01164357,10250523.015645524,2,0.882232884,Optimal
2510165.4974943106,4331406.809858728,2171028.4791413546,310181.82532355626,40455.0128643475,9363237.624682296,24853.64652215,10124690.083258728,3,0.8497978515000001,Optimal
635282.7254766038,4501478.824373921,2853220.3543312754,319338.93148688786,79029.2496972697,8388350.0853659585,2996.1229644900004,9249802.014242552,4,0.8212550229,Optimal
619152.2425998619,4538604.351401998,2838181.731297021,320719.7591282489,80034.5090321838,8396692.593459314,2929.8638155999997,9260863.743554808,5,0.7955065970999999,Optimal
2047976.2427751555,4406207.273013238,2255316.5361139765,310508.9675441552,53357.77990927678,9073366.799355801,19133.923107074,9853965.750086976,6,0.7716543732,Optimal
2374328.531776894,4494001.40844092,2155963.6960764965,322546.5113799879,31276.009343126265,9378116.157017423,23584.458041695,10156314.782044144,7,0.7492991508,Optimal
2311180.9323447505,4514112.102611296,2167844.7008229336,324802.6659286999,32301.433405185402,9350241.835112864,22914.41361119,10132359.713198196,8,0.7282413296999999,Optimal
2260285.487326093,4531768.914006616,2173133.7349886056,327942.80732038314,32704.741180538727,9325835.684822235,22384.3153235,10110896.817877347,9,0.7080817095,Optimal
2192153.9100741697,4579512.137467714,2177831.650102681,330373.91503770824,32423.80659033617,9312295.419272609,21654.47298405,10103422.253627975,10,0.6888202902,Optimal
2146021.5451763663,4597635.947994844,2179922.6726241456,331350.94951386855,33514.69945261724,9288445.814761844,21156.459202500002,10082048.511382442,11,0.6702574715999999,Optimal
2025763.356390178,4641034.375054052,2161584.138740599,328887.7731107254,39402.37445597819,9196672.017751534,19715.39238622,9993439.646791676,12,0.6523932537,Optimal
2043612.1161296281,4731671.913014301,2138406.898060314,335251.4936599008,35434.139234490736,9284376.560098635,20115.16565255,10088905.942761853,13,0.6351278364,Optimal
2000223.0891817878,4750399.585748778,2141371.024659389,334466.6362101672,37329.32041968338,9263789.656219807,19563.13257665,10070852.608112901,14,0.6183614196,Optimal
1941960.4204738224,4758047.72804965,2163040.741272119,336574.3531932075,37626.817732307005,9237250.060721103,18961.12076124,10047837.79852635,15,0.6019942032,Optimal
